Azimuth Angle,25
Zenith Angle,27
Wet Bulb Temperature (Tower),6
Dew Point Temperature (Tower),23
Station Pressure,3
Relative Humidity (Tower),12
Est. Sea-Level Pressure,1
Snow Depth,20
Vertical Wind Shear,13
Relative Humidity (Deck),16
Wind Direction @ 42ft,26
AOD BroadBand,22
Wind Chill Temperature (Tower),24
Wind Speed @ 22ft,4
Dry Bulb Temperature (Deck),18
Airmass,8
Precipitation,15
Albedo (LI-200),21
Cloud Cover (Total),11
Cloud Cover (Opaque),9
